module	version	evidence_path	sha256	license_type	detection_basis
dario.cat/mergo	v1.0.2	C:/Users/34026/go/pkg/mod/dario.cat/mergo@v1.0.2/LICENSE	cb7684632b729955293cab8a0bbf4134d53d9532a30761c33c8a4878302a7bd3	BSD-3-Clause	Copyright (c) 2013 Dario Castañé. All rights reserved.
filippo.io/edwards25519	v1.1.0	C:/Users/34026/go/pkg/mod/filippo.io/edwards25519@v1.1.0/LICENSE	2d36597f7117c38b006835ae7f537487207d8ec407aa9d9980794b2030cbc067	BSD-3-Clause	Copyright (c) 2009 The Go Authors. All rights reserved.
github.com/Azure/go-ansiterm	v0.0.0-20250102033503-faa5f7b0171c	C:/Users/34026/go/pkg/mod/github.com/!azure/go-ansiterm@v0.0.0-20250102033503-faa5f7b0171c/LICENSE	db25a2687ca23d8aedd282353fd23f64f7a0a74b586549cc43080e0a6eabe7b0	MIT	The MIT License (MIT)
github.com/Microsoft/go-winio	v0.6.2	C:/Users/34026/go/pkg/mod/github.com/!microsoft/go-winio@v0.6.2/LICENSE	cf248820bf1178370bb4f1670a59f8748d46bc96d0f64080cd631511c6046409	MIT	The MIT License (MIT)
github.com/bytebase/omni	v0.0.0-20260728103305-d2f82de1b468	C:/Users/34026/go/pkg/mod/github.com/bytebase/omni@v0.0.0-20260728103305-d2f82de1b468/LICENSE	4c4b71ccdeaea87bdde160d0fc1d4187e3f7495ca122b9bef78fa0175d9054ba	MIT	MIT License
github.com/cenkalti/backoff/v4	v4.3.0	C:/Users/34026/go/pkg/mod/github.com/cenkalti/backoff/v4@v4.3.0/LICENSE	5c0476add4c38b55d0ed5ac11b85e00c38f26e1caee20dfe3ab58190103d1fbc	MIT	The MIT License (MIT)
github.com/cespare/xxhash/v2	v2.3.0	C:/Users/34026/go/pkg/mod/github.com/cespare/xxhash/v2@v2.3.0/LICENSE.txt	f566a9f97bacdaf00d9f21dd991e81dc11201c4e016c86b470799429a1c9a79c	MIT	Copyright (c) 2016 Caleb Spare
github.com/containerd/errdefs	v1.0.0	C:/Users/34026/go/pkg/mod/github.com/containerd/errdefs@v1.0.0/LICENSE	4bbe3b885e8cd1907ab4cf9a41e862e74e24b5422297a4f2fe524e6a30ada2b4	Apache-2.0	
github.com/containerd/errdefs/pkg	v0.3.0	C:/Users/34026/go/pkg/mod/github.com/containerd/errdefs/pkg@v0.3.0/LICENSE	4bbe3b885e8cd1907ab4cf9a41e862e74e24b5422297a4f2fe524e6a30ada2b4	Apache-2.0	
github.com/containerd/log	v0.1.0	C:/Users/34026/go/pkg/mod/github.com/containerd/log@v0.1.0/LICENSE	4bbe3b885e8cd1907ab4cf9a41e862e74e24b5422297a4f2fe524e6a30ada2b4	Apache-2.0	
